,dd,hr,Ts_C,P,precip,u,O3,uh,O3_nmol,td,Tleaf_C,u_,Rn,cloudfrac,R,PAR,PPFD,Idrctt,Idfuse,VPD,RH,CO2,h,SWP,SWC,Hd,VPD_dd,esat,eact,is_daylight,sinB,leaf_fphen,LAI,V_cmax_25,J_max_25,snow_depth,ustar_ref
0,71,0,5.36,101.18,5,2.9,25.123,,1097.6952158131292,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.09,1.1005846104644295,391.0,,,0.297,,0.0,0.8947690862890734,0.9847690862890733,False,0.0,,,,,,
1,71,1,5.85,101.18,5,3.3,24.77342857,,1080.5204203877468,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.09,1.0972189074924354,391.0,,,0.297,,0.0,0.9257458484297693,1.0157458484297692,False,0.0,,,,,,
2,71,2,5.88,101.18,5,2.34,25.40285714,,1107.8545177950455,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,0.297,,0.0,0.9276727190716544,0.9276727190716544,False,0.0,,,,,,
3,71,3,5.19,101.18,5,0.93,25.46164286,,1113.170953606876,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,0.297,,0.0,0.884237604458392,0.884237604458392,False,0.0,,,,,,
4,71,4,5.9,101.18,5,0.82,25.21907143,,1099.7605357167663,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,,,0.297,,0.0,0.9289592623753128,0.9289592623753128,False,0.0,,,,,,
5,71,5,8.4,101.18,5,0.83,25.25185714,,1091.412336292287,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.9727942499176814,391.0,,,0.297,,0.0,1.1027080638918816,1.0727080638918816,False,0.0,,,,,,
6,71,6,10.13,101.18,5,1.07,23.9655,,1029.4888488631084,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.9838593371453466,391.0,,,0.297,,0.0,1.239106484045908,1.219106484045908,False,0.0,,,,,,
7,71,7,10.38,101.18,5,1.67,24.20471429,,1038.8480025543745,0.0,,,0.006414004376367615,,2.227084852905422,1.0021881838074398,4.58,0.0031981750079998826,0.9989900087994399,0.05,0.9603173379597484,391.0,,,0.297,,0.0,1.25999611490991,1.2099961149099099,False,0.11349147443502886,,,,,,
8,71,8,10.57,101.18,5,3.59,27.15121429,,1164.5291727281556,0.0,,,0.10922013129102844,,37.92365669827376,17.065645514223192,77.99,0.09477463836727099,16.970870875855923,0.05,0.9608174627229568,391.0,,,0.297,,0.0,1.2760786685780718,1.2260786685780718,False,0.2566223994629603,,,,,,
9,71,9,10.75,101.18,5,3.42,28.79071429,,1234.065222544684,0.0,,,0.16936892778993434,,58.80865548261609,26.46389496717724,120.94,0.16837858880176546,26.295516378375474,0.22,0.8296529251422812,391.0,,,0.297,,0.22,1.291480937866138,1.071480937866138,True,0.3783665880684558,,,,,,
10,71,10,10.64,101.18,5,3.88,26.63607143,,1142.1526432615603,0.0,,,0.3594363238512035,,124.80427911500121,56.161925601750546,256.66,0.38181938413422584,55.78010621761632,0.16,0.8751997919973289,391.0,,,0.297,,0.38,1.2820491452752665,1.1220491452752666,True,0.4704273749898351,,,,,,
11,71,11,10.61,101.18,5,6.24,26.11285714,,1119.83563578134,0.0,,,0.49205917414839717,,179.20252856795523,80.64113785557986,368.53,3.857500433919244,76.78363742166061,0.16,0.8749499183793886,391.0,,,0.297,,0.54,1.2794873695918314,1.1194873695918315,True,0.5265309697360498,,,,,,
12,71,12,10.51,101.18,5,6.19,26.03485714,,1116.8842500479807,0.0,,,0.44678284664847323,,157.70483831752978,70.9671772428884,324.32,1.399353301921726,69.56782394096668,0.12,0.9055847103604533,391.0,,,0.297,,0.66,1.270980584374938,1.1509805843749379,True,0.5428540050407197,,,,,,
13,71,13,10.27,101.18,5,5.85,27.473,,1179.5779856943561,0.0,,,0.4942888548334018,,179.9465110624848,80.97592997811816,370.06,4.18301842809983,76.79291155001833,-0.13,1.1039362379988868,391.0,,,0.297,,0.53,1.2507668403525674,1.3807668403525675,True,0.5182840930229226,,,,,,
14,71,14,9.89,101.18,5,5.01,29.21878571,,1256.2191630645764,0.0,,,0.27084463894967176,,94.04327741308047,42.31947483588621,193.4,0.2847535348218561,42.03472130106435,-0.14,1.1148162547468612,391.0,,,0.297,,0.39,1.2193395465534231,1.3593395465534233,True,0.454495632582972,,,,,,
15,71,15,9.56,101.18,5,5.12,26.29342857,,1131.7672328147457,0.0,,,0.16354310722100657,,56.785801118405054,25.553610503282275,116.78,0.1594542830959896,25.394156220186286,-0.15,1.1257742487288542,391.0,,,0.297,,0.24000000000000002,1.1926129674077546,1.3426129674077545,True,0.3558357018844355,,,,,,
16,71,16,9.36,101.18,5,4.94,30.58507143,,1317.4275473965017,0.0,,,0.13257943107221004,,46.03452467785071,20.71553610503282,94.67,0.10959431707817548,20.605941787954645,-0.15,1.1274787157558424,391.0,,,0.297,,0.24000000000000002,1.1766670154356764,1.3266670154356763,False,0.22902781216117382,,,,,,
17,71,17,9.34,101.18,5,5.0,30.64828571,,1320.2439173549553,0.0,,,0.061102818160061405,,25.387794796985165,11.424507658643325,52.21,0.6393146623346574,10.785192996308668,-0.15,1.12765058101734,391.0,,,0.297,,0.24000000000000002,1.175082783051524,1.325082783051524,False,0.08271371153788129,,,,,,
18,71,18,9.25,101.18,5,5.02,31.78157143,,1369.499067583252,0.0,,,0.0,,11.062484804279114,4.978118161925601,22.75,0.0,0.0,-0.14,1.1198653810345633,391.0,,,0.297,,0.24000000000000002,1.1679769320520557,1.3079769320520556,False,0.0,,,,,,
19,71,19,8.26,101.18,5,4.33,31.10035714,,1344.8595039144336,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.16,1.1464837107867112,391.0,,,0.297,,0.24000000000000002,1.0922716194223747,1.2522716194223746,False,0.0,,,,,,
20,71,20,5.76,101.18,5,4.84,27.71071429,,1209.0233854094533,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.14,1.152176165269384,391.0,,,0.297,,0.24000000000000002,0.9199863838871901,1.0599863838871901,False,0.0,,,,,,
21,71,21,4.87,101.18,5,3.55,26.10742857,,1142.7181509343409,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.12,1.138774889791928,391.0,,,0.297,,0.24000000000000002,0.8647097481390321,0.9847097481390321,False,0.0,,,,,,
22,71,22,4.67,101.18,5,1.89,26.09778571,,1143.1184126155617,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.11,1.1290021646463468,391.0,,,0.297,,0.24000000000000002,0.8526988698333826,0.9626988698333826,False,0.0,,,,,,
23,71,23,4.27,101.18,5,1.31,25.79321429,,1131.406749419435,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.11,1.132671154649966,391.0,,,0.297,,0.24000000000000002,0.8291176804047524,0.9391176804047524,False,0.0,,,,,,
24,72,0,4.18,101.18,5,0.39,25.123,,1102.3657539974565,4.758333333333333,,,0.0,,0.0,0.0,0.0,0.0,0.0,-0.12,1.1456501782338449,391.0,,,0.297,,0.0,0.8238918857163157,0.9438918857163157,False,0.0,,,,,,
